Lat,Lon,Month,Year,isoP
53.32,-60.42,11,2006,-15.55110762
53.32,-60.42,12,2006,-18.44639923
53.32,-60.42,1,2007,-19.3446363
53.32,-60.42,2,2007,-19.5978083
53.32,-60.42,3,2007,-20.20900163
53.32,-60.42,4,2007,-16.18252482
53.32,-60.42,5,2007,-13.73208935
53.32,-60.42,6,2007,-11.77483117
53.32,-60.42,7,2007,-10.70753752
53.32,-60.42,8,2007,-11.11090205
53.32,-60.42,9,2007,-13.51074891
53.32,-60.42,10,2007,-14.57823165
53.32,-60.42,11,2007,-19.03362283
53.32,-60.42,12,2007,-22.55882222
48.78,-123.13,1,2003,-11.53249903
48.78,-123.13,2,2003,-11.53249903
48.78,-123.13,3,2003,-10.96663276
48.78,-123.13,4,2003,-8.85589455
48.78,-123.13,5,2003,-9.082745161
48.78,-123.13,6,2003,-6.901181554
48.78,-123.13,7,2003,-4.035346619
48.78,-123.13,8,2003,-3.906295209
48.78,-123.13,9,2003,-6.090012722
48.78,-123.13,10,2003,-8.192167615
48.78,-123.13,11,2003,-11.42556373
48.78,-123.13,12,2003,-11.53249903
48.78,-123.13,1,2004,-11.53249903
48.78,-123.13,2,2004,-11.53249903
48.78,-123.13,3,2004,-10.96663276
48.78,-123.13,4,2004,-8.85589455
48.78,-123.13,5,2004,-9.082745161
48.78,-123.13,6,2004,-5.669348852
48.78,-123.13,7,2004,-4.631483357
48.78,-123.13,8,2004,-4.914144523
48.78,-123.13,9,2004,-6.224562801
48.78,-123.13,10,2004,-7.600358065
48.78,-123.13,11,2004,-8.533616509
48.78,-123.13,12,2004,-11.53249903
48.78,-123.13,1,2005,-11.53249903
48.78,-123.13,2,2005,-11.53249903
48.78,-123.13,3,2005,-10.96663276
48.78,-123.13,4,2005,-8.85589455
48.78,-123.13,5,2005,-9.082745161
48.78,-123.13,6,2005,-9.235094791
48.78,-123.13,7,2005,-3.769272779
48.78,-123.13,8,2005,-3.765956491
48.78,-123.13,9,2005,-6.808117306
48.78,-123.13,10,2005,-7.925736485
48.78,-123.13,11,2005,-9.95100022
48.78,-123.13,12,2005,-11.53249903
48.78,-123.13,1,2006,-11.53249903
48.78,-123.13,2,2006,-11.53249903
48.78,-123.13,3,2006,-10.96663276
48.78,-123.13,4,2006,-8.85589455
48.78,-123.13,5,2006,-9.082745161
48.78,-123.13,6,2006,-5.415561449
48.78,-123.13,7,2006,-4.3641892
48.78,-123.13,8,2006,-4.772079226
48.78,-123.13,9,2006,-6.929236441
48.78,-123.13,10,2006,-7.259716827
48.78,-123.13,11,2006,-12.26508996
48.78,-123.13,12,2006,-11.53249903
48.78,-123.13,1,2007,-11.53249903
48.78,-123.13,2,2007,-11.53249903
48.78,-123.13,3,2007,-10.96663276
48.78,-123.13,4,2007,-8.85589455
48.78,-123.13,5,2007,-9.082745161
48.78,-123.13,6,2007,-6.812562105
48.78,-123.13,7,2007,-2.307874224
48.78,-123.13,8,2007,-4.886339408
48.78,-123.13,9,2007,-7.000169956
48.78,-123.13,10,2007,-8.775191469
48.78,-123.13,11,2007,-10.68157859
48.78,-123.13,12,2007,-11.53249903
49.82,-74.97,1,2003,-23.80294557
49.82,-74.97,2,2003,-22.2699217
49.82,-74.97,3,2003,-16.33365939
49.82,-74.97,4,2003,-15.0113074
49.82,-74.97,5,2003,-10.04984336
49.82,-74.97,6,2003,-12.13427434
49.82,-74.97,7,2003,-12.53103856
